# SNAP pixel extraction export table																																																																												
#																																																																												
# Window size: 1																																																																												
# Created on:	04.08.2021 14:38																																																																											
																																																																												
# Wavelength:	 	 	 	 	 	 	 	 	443	490	560	665	705	740	783	842	865	945	1610	2190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProdID	CoordID	Name	Latitude	Longitude	PixelX	PixelY	Date(yyyy-MM-dd)	Class	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	quality_aot	quality_wvp	quality_cloud_confidence	quality_snow_confidence	quality_scene_classification	view_zenith_mean	view_azimuth_mean	sun_zenith	sun_azimuth	view_zenith_B1	view_azimuth_B1	view_zenith_B2	view_azimuth_B2	view_zenith_B3	view_azimuth_B3	view_zenith_B4	view_azimuth_B4	view_zenith_B5	view_azimuth_B5	view_zenith_B6	view_azimuth_B6	view_zenith_B7	view_azimuth_B7	view_zenith_B8	view_azimuth_B8	view_zenith_B8A	view_azimuth_B8A	view_zenith_B9	view_azimuth_B9	view_zenith_B10	view_azimuth_B10	view_zenith_B11	view_azimuth_B11	view_zenith_B12	view_azimuth_B12	scl_nodata	scl_saturated_defective	scl_dark_feature_shadow	scl_cloud_shadow	scl_vegetation	scl_not_vegetated	scl_water	scl_unclassified	scl_cloud_medium_proba	scl_cloud_high_proba	scl_thin_cirrus	scl_snow_ice	agri	bare	cloud	forest	rocks	snow	water	water_2	pins
2	10	pin_10	45.450053	10.640762	1981.5	3246.5	27.06.2021	NonForestVeget	0.035599999	0.044599999	0.078599997	0.052700002	0.129199997	0.345499992	0.421400011	0.425999999	0.456400007	0.467900008	0.236699998	0.119199999	0.228	2.674999952			4	7.038243771	115.8274689	25.52490044	145.0070038	7.147190094	119.9059982	6.915200233	109.8399963	6.948520184	112.1579971	6.988900185	114.2630005	7.014989853	115.4069977	7.043389797	116.5250015	7.074860096	117.6500015	6.930449963	111.0009995	7.108540058	118.7490005	7.187300205	121.0139999	6.978059769	113.7440033	7.040790081	116.4280014	7.118989944	119.0719986	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	11	pin_11	45.445095	10.651781	2041.5	3273.5	27.06.2021	NonForestVeget	0.034899998	0.044300001	0.079300001	0.052700002	0.136999995	0.345499992	0.411300004	0.413100004	0.439599991	0.4375	0.273299992	0.143700004	0.228	2.638999939			4	7.038243771	115.8274689	25.52490044	145.0070038	7.147190094	119.9059982	6.915200233	109.8399963	6.948520184	112.1579971	6.988900185	114.2630005	7.014989853	115.4069977	7.043389797	116.5250015	7.074860096	117.6500015	6.930449963	111.0009995	7.108540058	118.7490005	7.187300205	121.0139999	6.978059769	113.7440033	7.040790081	116.4280014	7.118989944	119.0719986	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	12	pin_12	45.449319	10.657291	2071.5	3250.5	27.06.2021	NonForestVeget	0.041499998	0.045299999	0.080600001	0.048700001	0.132200003	0.380899996	0.46450001	0.464599997	0.498199999	0.489300013	0.271400005	0.140699998	0.228	2.697000027			4	7.038243771	115.8274689	25.52490044	145.0070038	7.147190094	119.9059982	6.915200233	109.8399963	6.948520184	112.1579971	6.988900185	114.2630005	7.014989853	115.4069977	7.043389797	116.5250015	7.074860096	117.6500015	6.930449963	111.0009995	7.108540058	118.7490005	7.187300205	121.0139999	6.978059769	113.7440033	7.040790081	116.4280014	7.118989944	119.0719986	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	13	pin_13	45.455563	10.627172	1907.5	3216.5	27.06.2021	NonForestVeget	0.043900002	0.053199999	0.095200002	0.066	0.147599995	0.372700006	0.431600004	0.435400009	0.456699997	0.451400012	0.272399992	0.147499993	0.228	2.678999901			4	7.038243771	115.8274689	25.52490044	145.0070038	7.147190094	119.9059982	6.915200233	109.8399963	6.948520184	112.1579971	6.988900185	114.2630005	7.014989853	115.4069977	7.043389797	116.5250015	7.074860096	117.6500015	6.930449963	111.0009995	7.108540058	118.7490005	7.187300205	121.0139999	6.978059769	113.7440033	7.040790081	116.4280014	7.118989944	119.0719986	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	14	pin_14	45.456481	10.591728	1714.5	3211.5	27.06.2021	NonForestVeget	0.0403	0.0495	0.082000002	0.057500001	0.128399998	0.343100011	0.413399994	0.423599988	0.443899989	0.458700001	0.262100011	0.1426	0.228	2.542000055			4	7.417939186	115.096077	25.55109978	144.8869934	7.520619869	118.9800034	7.302370071	109.4049988	7.333499908	111.6050034	7.371379852	113.6050034	7.395899773	114.6920013	7.42264986	115.7570038	7.452310085	116.8280029	7.316589832	110.5070038	7.484059811	117.875	7.558499813	120.038002	7.361219883	113.1110001	7.420199871	115.663002	7.493909836	118.1829987	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	15	pin_15	45.426914	10.586403	1685.5	3372.5	27.06.2021	NonForestVeget	0.039900001	0.053300001	0.089100003	0.068999998	0.1391	0.31400001	0.372900009	0.371600002	0.39230001	0.402799994	0.266400009	0.146300003	0.224000007	2.641000032			4	7.417939186	115.096077	25.55109978	144.8869934	7.520619869	118.9800034	7.302370071	109.4049988	7.333499908	111.6050034	7.371379852	113.6050034	7.395899773	114.6920013	7.42264986	115.7570038	7.452310085	116.8280029	7.316589832	110.5070038	7.484059811	117.875	7.558499813	120.038002	7.361219883	113.1110001	7.420199871	115.663002	7.493909836	118.1829987	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	16	pin_16	45.421772	10.592279	1717.5	3400.5	27.06.2021	NonForestVeget	0.040899999	0.052700002	0.091200002	0.0583	0.139500007	0.350100011	0.412999988	0.417800009	0.440400004	0.430099994	0.270099998	0.147200003	0.224000007	2.670000076			4	7.417939186	115.096077	25.55109978	144.8869934	7.520619869	118.9800034	7.302370071	109.4049988	7.333499908	111.6050034	7.371379852	113.6050034	7.395899773	114.6920013	7.42264986	115.7570038	7.452310085	116.8280029	7.316589832	110.5070038	7.484059811	117.875	7.558499813	120.038002	7.361219883	113.1110001	7.420199871	115.663002	7.493909836	118.1829987	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	17	pin_17	45.415344	10.57722	1635.5	3435.5	27.06.2021	NonForestVeget	0.042300001	0.0537	0.0854	0.061000001	0.127499998	0.353199989	0.43720001	0.442099988	0.465799987	0.46360001	0.263599992	0.142700002	0.224000007	2.64199996			4	7.417939186	115.096077	25.55109978	144.8869934	7.520619869	118.9800034	7.302370071	109.4049988	7.333499908	111.6050034	7.371379852	113.6050034	7.395899773	114.6920013	7.42264986	115.7570038	7.452310085	116.8280029	7.316589832	110.5070038	7.484059811	117.875	7.558499813	120.038002	7.361219883	113.1110001	7.420199871	115.663002	7.493909836	118.1829987	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	20	pin_20	45.41314	10.558121	1531.5	3447.5	27.06.2021	NonForestVeget	0.044500001	0.0561	0.086900003	0.066500001	0.135800004	0.3389	0.419	0.424800009	0.457399994	0.459300011	0.253899992	0.136700004	0.224000007	2.622999907			4	7.417939186	115.096077	25.55109978	144.8869934	7.520619869	118.9800034	7.302370071	109.4049988	7.333499908	111.6050034	7.371379852	113.6050034	7.395899773	114.6920013	7.42264986	115.7570038	7.452310085	116.8280029	7.316589832	110.5070038	7.484059811	117.875	7.558499813	120.038002	7.361219883	113.1110001	7.420199871	115.663002	7.493909836	118.1829987	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	21	pin_21	45.407998	10.604951	1786.5	3475.5	27.06.2021	NonForestVeget	0.039799999	0.047499999	0.0889	0.050700001	0.141299993	0.400900006	0.478300005	0.488599986	0.518700004	0.488400012	0.277500004	0.145799994	0.224000007	2.655999899			4	6.950703621	116.0002975	25.48730087	144.9570007	7.06125021	120.1279984	6.825809956	109.9380035	6.859660149	112.2870026	6.900670052	114.4179993	6.927159786	115.5759964	6.955949783	116.7080002	6.987870216	117.8450012	6.841310024	111.1149979	7.02200985	118.9570007	7.10187006	121.2470016	6.889649868	113.8919983	6.953320026	116.6090012	7.032619953	119.2839966	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
